epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,142.996,0.47867,0.46985,0.96772,0.66691,0.77429,0.83512,0.67119,0.51566,1.1987,0.93069,4.47797e-05,4.47797e-05,4.47797e-05
65,145.208,0.47601,0.48748,0.99203,0.66195,0.78549,0.83022,0.66855,0.52686,1.2111,0.93599,4.36016e-05,4.36016e-05,4.36016e-05
66,147.266,0.46272,0.46367,0.97225,0.6323,0.80962,0.82387,0.66372,0.53833,1.25013,0.93872,4.24235e-05,4.24235e-05,4.24235e-05
67,149.376,0.48007,0.454,0.97035,0.62003,0.79572,0.82987,0.67428,0.53366,1.29114,0.93842,4.12454e-05,4.12454e-05,4.12454e-05
68,151.48,0.44804,0.4471,0.93966,0.63382,0.8001,0.8365,0.671,0.51498,1.29458,0.93116,4.00673e-05,4.00673e-05,4.00673e-05
69,153.48,0.44582,0.45585,0.9389,0.61674,0.7872,0.83046,0.68206,0.50338,1.31556,0.92883,3.88892e-05,3.88892e-05,3.88892e-05
70,155.377,0.4697,0.45052,0.95507,0.58678,0.79217,0.82294,0.67819,0.49398,1.34055,0.92445,3.77111e-05,3.77111e-05,3.77111e-05
71,157.284,0.46543,0.45168,0.96067,0.57144,0.7639,0.82137,0.67286,0.48436,1.35776,0.92122,3.6533e-05,3.6533e-05,3.6533e-05
72,159.231,0.47639,0.45895,0.98234,0.61366,0.72663,0.82234,0.67229,0.48967,1.37273,0.92729,3.53549e-05,3.53549e-05,3.53549e-05
73,161.117,0.43809,0.45289,0.94244,0.61874,0.71966,0.81629,0.67193,0.48607,1.37025,0.92794,3.41768e-05,3.41768e-05,3.41768e-05
74,163.005,0.44366,0.42067,0.94474,0.65633,0.72035,0.81517,0.67031,0.48966,1.36764,0.92997,3.29987e-05,3.29987e-05,3.29987e-05
75,164.889,0.45009,0.43473,0.96266,0.68149,0.71148,0.80685,0.66037,0.50247,1.3916,0.93937,3.18206e-05,3.18206e-05,3.18206e-05
76,166.829,0.44547,0.42991,0.95462,0.63432,0.71923,0.80732,0.67178,0.50416,1.38305,0.93734,3.06425e-05,3.06425e-05,3.06425e-05
77,168.76,0.44854,0.43282,0.95799,0.6349,0.71827,0.80645,0.67291,0.49932,1.34602,0.93359,2.94644e-05,2.94644e-05,2.94644e-05
78,170.651,0.43199,0.43709,0.9424,0.63368,0.71789,0.80641,0.66644,0.49473,1.34945,0.92734,2.82863e-05,2.82863e-05,2.82863e-05
79,172.535,0.43426,0.46492,0.9486,0.63828,0.71373,0.80557,0.67207,0.48422,1.33596,0.91837,2.71082e-05,2.71082e-05,2.71082e-05
80,174.483,0.42382,0.46276,0.9461,0.61587,0.758,0.8056,0.67403,0.48294,1.32239,0.91343,2.59301e-05,2.59301e-05,2.59301e-05
81,176.382,0.44426,0.448,0.95538,0.62712,0.79293,0.80878,0.67918,0.48136,1.29735,0.91069,2.4752e-05,2.4752e-05,2.4752e-05
82,178.268,0.41145,0.40862,0.93605,0.64635,0.74905,0.81022,0.68425,0.48858,1.26995,0.91483,2.35739e-05,2.35739e-05,2.35739e-05
83,180.166,0.42009,0.42169,0.93868,0.65153,0.77881,0.81611,0.68903,0.49183,1.22681,0.9166,2.23958e-05,2.23958e-05,2.23958e-05
84,182.095,0.4512,0.43299,0.96118,0.65179,0.7715,0.81259,0.69099,0.49252,1.26854,0.91484,2.12177e-05,2.12177e-05,2.12177e-05
85,184.236,0.4491,0.45028,0.9464,0.65526,0.76609,0.81904,0.69608,0.49076,1.28758,0.91584,2.00396e-05,2.00396e-05,2.00396e-05
86,186.424,0.41159,0.40504,0.92824,0.65904,0.76709,0.81965,0.69658,0.48586,1.30496,0.91301,1.88615e-05,1.88615e-05,1.88615e-05
87,188.491,0.45062,0.4364,0.92391,0.66053,0.77442,0.81407,0.69346,0.48014,1.2988,0.90865,1.76834e-05,1.76834e-05,1.76834e-05
88,190.513,0.45235,0.4248,0.9502,0.63663,0.76614,0.81018,0.69059,0.48335,1.28991,0.91173,1.65053e-05,1.65053e-05,1.65053e-05
89,192.445,0.44856,0.41703,0.96061,0.64475,0.7634,0.81106,0.69472,0.48512,1.27362,0.91342,1.53272e-05,1.53272e-05,1.53272e-05
90,194.386,0.46206,0.46153,0.95846,0.64423,0.76834,0.81088,0.69184,0.49175,1.28616,0.9153,1.41491e-05,1.41491e-05,1.41491e-05
91,228.311,0.42366,0.43596,0.90158,0.62723,0.75386,0.80886,0.68349,0.49738,1.24849,0.92175,1.2971e-05,1.2971e-05,1.2971e-05
92,230.443,0.40912,0.43506,0.89864,0.61797,0.74249,0.79725,0.6725,0.52784,1.23712,0.93926,1.17929e-05,1.17929e-05,1.17929e-05
93,232.654,0.39514,0.39686,0.8999,0.64336,0.73966,0.79425,0.66042,0.54915,1.23752,0.95086,1.06148e-05,1.06148e-05,1.06148e-05
94,234.649,0.4344,0.42871,0.9403,0.66953,0.75168,0.79652,0.65662,0.56052,1.22703,0.95867,9.4367e-06,9.4367e-06,9.4367e-06
95,236.634,0.37665,0.38188,0.87301,0.70566,0.75158,0.80136,0.65774,0.56173,1.27406,0.95694,8.2586e-06,8.2586e-06,8.2586e-06
96,238.547,0.4092,0.40831,0.92205,0.7096,0.7689,0.79993,0.65017,0.57276,1.21465,0.97085,7.0805e-06,7.0805e-06,7.0805e-06
97,240.493,0.35576,0.34274,0.86945,0.70745,0.76706,0.79678,0.64216,0.57583,1.21515,0.97223,5.9024e-06,5.9024e-06,5.9024e-06
98,242.361,0.3722,0.3578,0.87232,0.69324,0.77441,0.79655,0.6401,0.57989,1.21869,0.97418,4.7243e-06,4.7243e-06,4.7243e-06
99,244.213,0.41123,0.40974,0.9248,0.67378,0.77747,0.79981,0.63699,0.57803,1.21774,0.973,3.5462e-06,3.5462e-06,3.5462e-06
100,246.126,0.38852,0.38545,0.90669,0.67844,0.77454,0.79832,0.63496,0.57731,1.19885,0.97593,2.3681e-06,2.3681e-06,2.3681e-06
